               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.049162,            0.014983,             0.01556,             0.43955,             0.28295,             0.27131,             0.16656,            0.051144,            0.011713,            0.051058,            0.009307,            0.009307,            0.009307
                  37,             0.04947,            0.014685,            0.015195,             0.46963,             0.30393,             0.29531,             0.18218,            0.051947,            0.011639,            0.049897,           0.0092872,           0.0092872,           0.0092872
                  38,            0.048818,            0.015035,             0.01451,             0.47445,             0.28816,             0.28924,             0.17835,            0.051866,            0.011871,            0.049478,           0.0092674,           0.0092674,           0.0092674
                  39,            0.049255,            0.014659,            0.014634,             0.52572,             0.29835,             0.30718,             0.18839,            0.050961,            0.011641,            0.048676,           0.0092476,           0.0092476,           0.0092476
                  40,            0.048682,            0.014638,            0.013582,             0.52539,             0.30801,             0.31694,             0.19706,            0.050597,            0.011459,             0.04863,           0.0092278,           0.0092278,           0.0092278
                  41,            0.048484,            0.014308,            0.013351,             0.47355,             0.30892,             0.30957,             0.19233,            0.051317,            0.011713,            0.047868,            0.009208,            0.009208,            0.009208
                  42,            0.048465,             0.01454,            0.013048,             0.54798,             0.30379,             0.31768,             0.20191,            0.050481,            0.011616,            0.048489,           0.0091882,           0.0091882,           0.0091882
                  43,            0.047502,             0.01401,            0.012977,             0.52632,             0.30445,             0.31447,              0.1978,             0.05054,            0.011455,            0.050228,           0.0091684,           0.0091684,           0.0091684
                  44,            0.048732,            0.014462,            0.012701,             0.52917,             0.30912,             0.32201,             0.20034,             0.05119,            0.011578,            0.048649,           0.0091486,           0.0091486,           0.0091486
                  45,            0.048105,            0.014224,            0.013099,             0.53629,             0.29661,             0.30873,             0.19519,            0.050257,             0.01167,            0.049386,           0.0091288,           0.0091288,           0.0091288
                  46,            0.047977,            0.014369,            0.012495,             0.59085,             0.29337,             0.32774,             0.20948,            0.050277,            0.011408,            0.048864,            0.009109,            0.009109,            0.009109
                  47,            0.047738,            0.014117,            0.011786,             0.56492,              0.3068,             0.33011,             0.20893,            0.050361,            0.011504,             0.04898,           0.0090892,           0.0090892,           0.0090892
                  48,            0.047086,             0.01391,            0.011763,             0.58639,             0.29934,             0.31776,             0.20151,            0.050778,            0.011735,             0.04956,           0.0090694,           0.0090694,           0.0090694
                  49,            0.047277,            0.014146,            0.011767,             0.56775,             0.31673,              0.3382,             0.21407,            0.050225,            0.011627,            0.049349,           0.0090496,           0.0090496,           0.0090496
                  50,            0.047365,            0.014066,            0.011052,               0.616,             0.30731,             0.33729,              0.2139,            0.050092,            0.011605,            0.048199,           0.0090298,           0.0090298,           0.0090298
                  51,            0.046665,            0.013764,            0.011034,             0.57243,             0.32311,             0.33267,             0.21084,            0.049775,            0.011711,            0.049199,             0.00901,             0.00901,             0.00901
                  52,             0.04653,            0.013628,            0.010786,             0.56453,             0.32841,             0.33375,             0.21041,            0.049762,            0.011489,            0.050079,           0.0089902,           0.0089902,           0.0089902
                  53,            0.046618,            0.013928,            0.010848,             0.56606,             0.31536,             0.33806,             0.21428,            0.049542,            0.011601,            0.048522,           0.0089704,           0.0089704,           0.0089704
                  54,            0.046693,            0.013811,            0.010771,             0.57506,             0.29795,             0.32691,             0.20903,            0.050355,            0.011638,            0.049949,           0.0089506,           0.0089506,           0.0089506
                  55,            0.046052,            0.013516,            0.010445,             0.57039,             0.33543,             0.34768,             0.21925,            0.050128,            0.012006,            0.048618,           0.0089308,           0.0089308,           0.0089308
                  56,            0.045727,            0.013511,            0.010437,             0.64756,             0.31528,             0.35166,             0.22445,            0.049348,            0.011759,            0.049228,            0.008911,            0.008911,            0.008911
                  57,             0.04656,            0.013749,             0.01063,             0.56535,             0.33362,             0.34766,             0.22294,            0.049047,            0.011669,            0.049683,           0.0088912,           0.0088912,           0.0088912
                  58,            0.045757,            0.013393,            0.010369,             0.60894,              0.3222,             0.34611,             0.22183,            0.049165,            0.011344,            0.049705,           0.0088714,           0.0088714,           0.0088714
                  59,            0.045751,            0.013648,           0.0099453,             0.57426,              0.3305,             0.34937,             0.22624,            0.048849,            0.011667,            0.048527,           0.0088516,           0.0088516,           0.0088516
                  60,            0.045696,            0.013347,            0.009883,             0.58694,             0.33287,              0.3552,             0.22867,            0.048766,            0.011737,            0.048693,           0.0088318,           0.0088318,           0.0088318
                  61,            0.045491,             0.01354,           0.0094906,              0.5779,             0.34386,             0.36002,              0.2333,            0.048796,            0.011604,            0.049507,            0.008812,            0.008812,            0.008812
                  62,            0.044973,            0.013323,           0.0092821,             0.58946,             0.33851,             0.36161,              0.2341,            0.048351,            0.011553,            0.049101,           0.0087922,           0.0087922,           0.0087922
                  63,             0.04447,            0.013126,             0.00936,             0.54155,             0.34884,             0.35562,             0.23258,            0.048875,            0.011786,            0.049273,           0.0087724,           0.0087724,           0.0087724
                  64,            0.045106,            0.013356,            0.009487,             0.61737,             0.33753,             0.35859,              0.2339,            0.048343,             0.01149,            0.048808,           0.0087526,           0.0087526,           0.0087526
                  65,            0.044794,            0.013034,           0.0089667,             0.56576,             0.34412,             0.35419,             0.23015,            0.048484,            0.011807,            0.049499,           0.0087328,           0.0087328,           0.0087328
                  66,            0.044882,            0.013297,           0.0088044,             0.64108,             0.31852,             0.34709,             0.22442,            0.048956,            0.011891,             0.04957,            0.008713,            0.008713,            0.008713
                  67,            0.044518,               0.013,           0.0091156,             0.56818,             0.34019,             0.35295,             0.22946,            0.048308,            0.011675,            0.050572,           0.0086932,           0.0086932,           0.0086932
                  68,            0.044843,            0.013079,           0.0088198,              0.6402,             0.32875,             0.35654,             0.23093,            0.048883,            0.011926,            0.050653,           0.0086734,           0.0086734,           0.0086734
                  69,            0.044909,            0.013303,           0.0090773,             0.62354,             0.33343,             0.35911,             0.23041,            0.048144,            0.011657,            0.049754,           0.0086536,           0.0086536,           0.0086536
                  70,            0.044174,             0.01305,            0.008464,             0.59865,             0.34286,             0.36438,             0.23773,            0.048468,            0.011749,            0.050267,           0.0086338,           0.0086338,           0.0086338
                  71,            0.044116,            0.013215,           0.0087465,             0.53308,             0.34971,             0.35141,              0.2274,            0.048605,            0.011932,            0.049709,            0.008614,            0.008614,            0.008614
                  72,            0.044189,            0.012982,           0.0084485,             0.63007,             0.33208,             0.36411,             0.24273,            0.048519,            0.012138,            0.050277,           0.0085942,           0.0085942,           0.0085942
                  73,            0.043619,            0.012973,           0.0086395,             0.60208,              0.3566,             0.37518,             0.24564,            0.048067,            0.011933,             0.04755,           0.0085744,           0.0085744,           0.0085744
                  74,            0.043872,            0.012687,           0.0082928,             0.59651,             0.35385,             0.36944,             0.23957,            0.048654,            0.011897,            0.047757,           0.0085546,           0.0085546,           0.0085546
                  75,            0.044042,            0.012968,           0.0083479,             0.62867,             0.35878,             0.38424,             0.25379,              0.0481,            0.011636,            0.047531,           0.0085348,           0.0085348,           0.0085348
                  76,            0.043645,            0.012728,           0.0084519,             0.64463,             0.34851,              0.3747,             0.24715,            0.048093,            0.011657,            0.048502,            0.008515,            0.008515,            0.008515
                  77,            0.043676,            0.012704,           0.0084946,             0.58154,             0.35335,             0.37031,             0.24315,            0.048591,            0.011745,            0.048648,           0.0084952,           0.0084952,           0.0084952
                  78,            0.043373,            0.013009,           0.0081281,             0.69986,             0.33364,             0.37426,             0.24259,            0.048423,            0.011996,            0.048345,           0.0084754,           0.0084754,           0.0084754
                  79,            0.043335,            0.012482,           0.0080756,             0.63368,             0.35955,             0.38304,             0.25089,            0.047858,            0.011503,            0.048295,           0.0084556,           0.0084556,           0.0084556
                  80,            0.043541,             0.01271,           0.0079312,             0.63814,             0.34389,             0.37002,             0.24384,            0.048044,            0.012167,            0.049344,           0.0084358,           0.0084358,           0.0084358
                  81,            0.043335,            0.012534,           0.0081112,             0.63278,             0.36001,             0.38177,              0.2539,            0.047658,             0.01148,            0.048429,            0.008416,            0.008416,            0.008416
                  82,             0.04346,            0.012928,           0.0081351,             0.62251,              0.3524,             0.37429,              0.2472,            0.047824,            0.011626,            0.048124,           0.0083962,           0.0083962,           0.0083962
                  83,            0.043388,            0.012847,           0.0079638,             0.59561,             0.35751,             0.36968,             0.24433,            0.047933,            0.011643,            0.048506,           0.0083764,           0.0083764,           0.0083764
                  84,              0.0432,            0.013116,           0.0076591,             0.71357,             0.35198,             0.38939,             0.25619,            0.047713,            0.011698,            0.048107,           0.0083566,           0.0083566,           0.0083566
                  85,            0.042688,            0.012444,           0.0076915,             0.65771,             0.35027,             0.38019,             0.25276,            0.047577,            0.011529,             0.04816,           0.0083368,           0.0083368,           0.0083368
                  86,            0.043194,            0.012599,            0.007917,             0.68487,             0.34404,             0.37913,             0.25139,            0.047591,            0.011658,            0.048621,            0.008317,            0.008317,            0.008317
                  87,            0.042486,            0.012293,           0.0078193,             0.62163,             0.35419,             0.37462,             0.24745,            0.047641,            0.011708,            0.049664,           0.0082972,           0.0082972,           0.0082972
                  88,            0.042618,            0.012325,           0.0075296,             0.62801,             0.36621,             0.38289,             0.25185,            0.047625,            0.011796,            0.048656,           0.0082774,           0.0082774,           0.0082774
                  89,            0.042705,            0.012228,           0.0076973,             0.65806,             0.35754,             0.38808,             0.25786,            0.047446,            0.011703,            0.048319,           0.0082576,           0.0082576,           0.0082576
                  90,            0.042018,            0.012274,            0.007266,             0.62697,              0.3571,             0.38126,             0.25221,            0.047331,            0.011611,            0.049862,           0.0082378,           0.0082378,           0.0082378
                  91,            0.042408,            0.012192,           0.0075821,             0.66857,             0.36355,             0.38625,              0.2547,            0.047292,            0.011454,            0.049016,            0.008218,            0.008218,            0.008218
                  92,            0.042361,            0.012414,           0.0075412,             0.63576,             0.35883,             0.38242,             0.25002,            0.047197,            0.011648,            0.049592,           0.0081982,           0.0081982,           0.0081982
                  93,            0.042523,            0.012614,           0.0073877,             0.62764,             0.36603,             0.39035,             0.25803,            0.047502,            0.011752,            0.048818,           0.0081784,           0.0081784,           0.0081784
                  94,            0.041995,            0.012268,            0.007365,              0.6603,             0.37504,             0.39553,             0.26308,             0.04701,            0.011556,            0.048667,           0.0081586,           0.0081586,           0.0081586
                  95,            0.041837,            0.012336,           0.0074675,             0.64928,             0.35692,             0.38068,             0.25252,            0.047435,            0.011869,            0.048931,           0.0081388,           0.0081388,           0.0081388
                  96,            0.042193,            0.012549,           0.0072707,             0.66551,             0.36746,             0.39344,             0.26373,            0.047037,            0.011904,            0.047909,            0.008119,            0.008119,            0.008119
                  97,            0.041678,            0.012141,           0.0071409,             0.63261,             0.36881,             0.39321,             0.26293,            0.047002,            0.011667,            0.048067,           0.0080992,           0.0080992,           0.0080992
                  98,            0.041675,            0.012321,           0.0069694,             0.68198,             0.35932,             0.39915,               0.266,            0.047069,            0.011958,            0.047874,           0.0080794,           0.0080794,           0.0080794
                  99,            0.041322,            0.012233,            0.006778,             0.66605,             0.37165,             0.40433,             0.27045,            0.046788,            0.011886,            0.048223,           0.0080596,           0.0080596,           0.0080596
                 100,            0.041417,            0.012066,           0.0069181,             0.68734,             0.36569,             0.40089,             0.26775,            0.047257,            0.011954,            0.047685,           0.0080398,           0.0080398,           0.0080398
                 101,            0.041913,            0.012174,           0.0069136,             0.71507,             0.35359,             0.39581,             0.26437,            0.047153,            0.011963,            0.048028,             0.00802,             0.00802,             0.00802
                 102,            0.041141,            0.012051,           0.0069146,             0.71419,             0.35526,             0.39075,             0.26109,            0.046855,            0.011997,            0.048726,           0.0080002,           0.0080002,           0.0080002
                 103,            0.041762,            0.012099,           0.0072105,             0.67534,             0.35971,             0.39774,             0.26723,            0.046967,            0.011791,             0.04747,           0.0079804,           0.0079804,           0.0079804
                 104,            0.041666,            0.012223,           0.0070094,             0.67808,             0.37251,             0.39895,             0.26668,            0.046961,            0.011812,            0.048394,           0.0079606,           0.0079606,           0.0079606
